,segment
32,报警人被老婆打，持棍子，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
33,之前报警人父亲被其老婆打伤要去医院，现要进屋拿钱，其岳母将门反锁不让进发生纠纷，请民警到场处理。
34,报警人被老婆打 请民警到场处理。
35,"家暴,报警人被妻子打,请民警到场处理。"
36,家暴，被老婆打，用菜刀，人伤不明，中断，请民警携带必要的防护设备，并注意自身安全。
37,"家暴，被老婆打，用菜刀，人伤不明，中断，请民警携带必要的防护设备，并注意自身安全。 
38,称被妻子打，受伤无需120，有持械（剪刀）请民警携带必要防护装备并注意自身安全。请民警到场处理。
39,报警人称被老婆打 无需救护 请民警到场处理。
40,报警人被老婆打，请民警到场处理。
41,报警人被老婆打，持械，人伤，无需救护车，请民警到场处理，并注意自身安全。
42,称家暴 被老婆打 请民警到场处理。
43,报警人被老婆打伤，无需救护。请民警注意安全。
44,被妻子打了，未持械，人伤无需120，请民警到场处理。
45,报警人被老婆打，人伤，无需120，请民警到场处理。
46,家暴，被老婆打，无持械，无人伤，请民警到场处理。
47,报警人被老婆打 在轿车上 请民警到场处理。
48,报警人称被妻子打，请民警到场处理。请民警携带必备的个人防护设备，注意自身安全。
49,报警人称被妻子打，请民警到场处理。
50,报警人被老婆打，持椅子，1人伤 （请民警携带必要个人防护装备到场处理，并注意自身安全。）
51,报警人被老婆打，持椅子，1人伤 （请民警携带必要个人防护装备到场处理，并注意自身安全。）
52,报警人称被其老婆打，请民警到场处理并注意自身安全。（内线：22672）
53,被老婆打，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
54,报警人称被老婆打 无需救护车 ，无持械，请民警到场处理。
55,被老婆打，人无伤，无持械，请民警到场处理。
56,被妻子打，无需救护，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
57,报警人称被老婆打伤。（1384号10：52分已处，报警人来电催问，请分局做好解释工作）
58,报警人被妻子打 无需救护 刚从派出所回来又被打 请民警携带必要的防护设备，并注意自身安全 请民警到场处理。
59,报警人称被老婆打 请民警到场处理。 报警人在西门门岗
60,称被妻子打，人无事，通话中自动中断，反打联系不上，（上址为装机地址），请民警到场处理
61,保安代为报警，一个老伯伯被妻子打，持械，人伤无需救护，现在老伯伯在小区门口的保安室等民警，请民警到场处理。
62,被老婆打 ，人轻伤 请民警到场处理。
63,称被老婆打，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）
64,报警人被老婆打，请民警到场处理。
65,报警人被老婆打 之前还拿出刀 无需救护车 请民警到场处理。
66,称被老婆打耳光，（已通知卫生局，若民警到场确认不需急救车，请致电120或110）
67,报警人被老婆打，持鞋子，受伤无需救护，请民警注意自身安全。此警247号21：36分已处警，报警人来电催问，请分局做好解释工作。
68,报警人被老婆打，持鞋子，受伤无需救护，请民警注意自身安全。
69,报警人被老婆打，持鞋子，受伤无需救护，请民警注意自身安全。
70,报警人被老婆打，持鞋子，受伤无需救护，请民警注意自身安全。
71,报警人被其老婆打，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
72,报警人称被老婆打 拿乒乓板 无需120 请民警到场处理。
73,报警人称被妻子打伤，持鞋子，无需120
74,报警人被老婆打 人无事 无持械 请民警到场处理。
75,"称被老婆打 对方手持锤子 人伤，无需救护车 请民警到场处理，请民警带好必要的防护用具并注意自身安全。"
76,报警人被其老婆打，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
77,报警人称被老婆打，后持刀与老婆对峙，现被老婆掐着脖子，刀在报警人手里，报警人受伤，请民警尽快到场，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)（已通知120，如民警到场不需要，请致电120或1120170503183937660017
78,报警人被老婆打，人伤，请民警到场处理并注意自身安全。 （已通知120，如民警到场不需要，请致电120或110）
79,报警人称被其老婆打，无需救护，请民警到场处理。22651
80,报警人被老婆打 无需救护，请民警到场处理。(22640)
81,称被老婆打 未持械 请民警到场处理。
82,称被老婆打，人无事，无持械，请民警到场处理。
83,报警人被老婆打，请民警到场处理。
84,报警人被老婆打，请民警到场处理。
85,被妻子打，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
86,报警人被老婆打 请民警到场处理。（内线：22649)
87,报警人称被老婆打了，人伤，邻居已经联系过120，用保温瓶打的，请携带必要的个人防护装备，并注意自身安全。
88,称被老婆打其，手上拿物品，人无事，请民警到场处理。
89,报警人被老婆打 请民警到场处理。
90,报警人（75岁）被老婆打，称其招女人，请民警到场处理。
91,报警人被老婆打 请民警到场处理。内线 22676
92,称被老婆打，砸东西。无需救护
93,报警人称其被老婆打，请民警到场处理并注意自身安全。（内线：22645）
94,报警人被其老婆打，1人头受伤无需120，请民警到场处理。请民警携带必要的工具，并注意自身安全。
95,称被老婆打耳光，请民警到场处理。请民警携带必要防护装备并注意自身安全。
96,家庭纠纷，称被其妻子打，请民警到场处理。
97,被老婆打，用棍子打，1人伤，请民警到场处理。
98,被老婆打，拿扫帚，人伤不明，中断，请民警到场处理。
99,被老婆打，无需救护，请民警携带必要的防护设备。
100,报警人被老婆打伤，请民警到场处理，请民警注意自身安全
101,称被老婆打 人无事 未持械 请民警到场处理。
102,报警人被老婆打，请民警到场处理。
103,家庭成员纠纷，请民警到场处理。  886号00：02分处过警，报警人被老婆打，1人伤  民警走后，现称对方拿刀了，请民警到场处理。
104,家暴，报警人被老婆打伤，无需120，请民警到场处理并注意自身安全。
105,报警人称被老婆打，无需救护，请民警到场处理。
106,"家庭暴力,被老婆打,请民警到场处理。"
107,家庭纠纷引起 头被妻子打伤 都是血 无需120 请民警到场处理。
108,报警人被老婆打，请民警到场处理。
109,报警人被老婆打。无持械，人伤，无需救护车，请民警注意自身安全。请民警到场处理。
110,报警人称被老婆打，人无事，请民警到场处理。
111,报警人（78岁，口齿不清），自称被老婆打，其余不详，请民警到场处理。
112,称被老婆打，请民警到场处理。
113,报警人被老婆打，对方在场，请民警到场处理。
114,称被老婆打，具体不明，请民警到场处理。
115,报警人被老婆打。请民警到场处理。
116,"报警人被妻子打,请民警到场处理。"
117,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全"
118,称被老婆打 请民警到场处理。
119,报警人被老婆打，人伤，无需120，称老婆拿铁器，请民警到场处理。请民警携带必要防护装备并注意自身安全。
120,被老婆打，无持械，1人轻伤，请民警到场处理。
121,报警人称被老婆打，持刀，人没事，现刀已放下，请民警到场处理。请携带必要的个人防护装备，并注意自身安全
122,报警人称被老婆打伤，无需120，请民警到场处理并注意自身安全。
123,报警人被老婆打，请民警到场处理。
124,报警人称被其老婆打，手上拿刀，人无事，请民警到场处理。请民警携带必要的工具，并注意自身安全。
125,家暴被老婆打，无持械，人伤不明，请民警到场处理。
126,报警人被老婆打   （已通知120，如果民警到场确认无需救护，请联系120或者110） 请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
127,夫妻纠纷 矛盾激化 报警人称被老婆打 请民警到场处理。
128,称被老婆打，请民警到场处理。
129,报警人被老婆打，请民警携带必要的个人防护装备，并注意自身安全。
130,家庭纠纷引发，报警人称被老婆打，请民警到场处理。
131,家庭暴力，报警人被老婆打，持螺丝刀，人伤无需救护车，请民警到场处理。
132,报警人被老婆打，持水壶、杯子，无人伤。请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
133,报警人 被老婆打 人伤 无需救护 请民警到场处理。
134,报警人被老婆打，请民警到场处理
135,报警人被老婆打 请民警到场处理。
136,报警人被妻子打，无持械，无需救护，请民警到场处理。
137,报警人称被老婆打，头伤流血无需救护，请民警到场处理并注意自身安全。
138,报警人被老婆打，请民警到场处理。
139,报警人称被其妻子打，请民警到场处理。
140,被老婆打，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
141,报警人被妻子打 人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全
142,报警人称被妻子打，人伤，无需120，请民警到场处理。
143,家庭暴力，称被老婆打出血暂无需救护，请民警到场处理。
144,异地报，称女儿在上址被妻子打，激动，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
145,报警人称被妻子打伤，无需120，未持械，请民警到场处理。
146,报警人称被妻子打伤，无需120，未持械
147,报警人再次来电：称被妻子打伤 情况不明 请民警到场处理。
148,报警人被老婆打，请民警到场处理。
149,称被老婆打，人伤无需救护，请民警到场处理。
150,报警人称其被老婆打，人伤，无需救护。请民警到场处理。
151,报警人被老婆打，无需救护，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
152,报警人被老婆打，人伤无需120，
153,"报警人称被老婆打,无持械,无需救护,请民警到场处理"
154,报警人称被老婆打，无持械，无需救护，请民警到场处理
155,报警人被老婆打，人轻伤无需救护  （505号21：24已处，现变更地址，
156,报警人称被老婆打 家庭纠纷 请民警到场处理。
157,报警人被老婆打，人轻伤无需救护
158,报警人被老婆打，人伤 无需救护，请民警到场处理。
159,"被老婆打,无持械,人伤无需救护,请民警到场处理。22652"
160,家暴，报警人的母亲被其老婆打了，无持械，1人伤无需救护，请民警到场处理。
161,报警人被老婆打，人伤无需120，请民警到场处理。
162,被老婆打，无需救护，请民警到场处理。
163,报警人被其妻子打，无需救护，请民警到场处理
164,报警人被老婆打 请民警到场处理并注意自身安全。
165,报警人被老婆打 请民警到场处理并注意自身安全。
166,报警人被老婆打，自动中断，请民警到场处理。
167,报警人被老婆打， 请民警到场处理。
168,报警人被老婆打，请民警到场处理。
169,报警人被老婆打 请民警到场处理。
170,报警人被妻子打，无持械，无需救护，请民警到场处理。
171,报警人被老婆打，无需救护，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
172,夫妻纠纷 家暴 报警人被老婆打 请民警到场处理。
173,报警人被老婆打，请民警到场处理，并注意自身安全。
174,报警人被妻子打，用酒瓶，未砸到报警人，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
175,家庭纠纷  报警人被老婆打 无需救护，请民警到场处理。内线(25242)
176,报警人被老婆打，请民警到场处理。
177,报警人被老婆打，持械，人伤，无需救护车，并且老婆扬言要杀其全家，请民警到场处理，并注意自身安全。
178,民警走后，报警人被老婆打，未持械，人未伤，请民警到场处理并注意自身安全。
179,报警人被老婆打伤、请民警注意自身安全。
180,称被老婆打，请民警到场处理。
181,报警人被老婆打，请民警到场处理。
182,被妻子打，无需120，请民警到场处理。
183,称被妻子打，请民警到场处理。
184,报警人被老婆打，请民警到场处理。
185,报警人被老婆打，请民警到场处理。
186,报警人被其老婆打，人伤无需救护，请民警到场处理
187,报警人被老婆打 请民警到场处理。
188,称被妻子打，无需救护，请民警到场处理。
189,报警人被老婆打，请民警到场处理。
190,报警人称其被老婆打，请民警到场处理。
191,报警人被老婆打，拿东西打，人伤无需救护，请民警到场处理。
192,报警人称被老婆打 请民警到场处理
193,报警人被老婆打，拿刀，人伤无需救护，请民警到场处理。请民警携带好必要的防护设备，并注意自身安全。
194,称被老婆打，请民警到场处理并注意自身安全。
195,报警人称被老婆打，请民警到场处理。
196,报警人被其老婆打，人伤无需救护车，请民警到场处理。
197,报警人被老婆打，请民警到场处理。
198,"报警人被老婆打，人伤无需救护车,请民警到场处理。"
199,报警人被其老婆打伤，需要120，请民警到场处理。（已通知120，如果民警到场确认无需救护，请联系120或者110）
200,报警人称被老婆打，持剪刀，无人伤，请民警注意自身安全 （内线：22669）
201,报警人被妻子打 无需救护 请民警携带必要的防护装备。 请民警到场处理并注意自身安全。
202,报警人称其被老婆打，人伤无需救护车，请民警到场处理。
203,称被妻子打，请民警到场处理。
204,报警人称被老婆打，老婆用椅子打
205,报警人被老婆打，请民警到场处理。
206,称被老婆打，请民警到场处理。
207,称被老婆打，无持械 ，请民警到场处理。
208,报警人称被其老婆打，请民警到场处理。
209,被妻子打，人无事，请民警到场处理。
210,报警人被妻子打，请民警到场处理
211,报警人被老婆打伤。请民警到场处理。
212,报警人称弟弟被老婆打的快不行了 对方现在要走 请民警到场处理。22680
213,报警人被老婆打，请民警到场处理。
214,报警人妈妈被老婆打，对方在场，人无伤 请民警到场处理。
215,报警人称被其老婆打，请民警到场处理。
216,报警人被老婆打，持械，对方在场，人伤无需120，夫妻纠纷引起，请民警到场处理。
217,报警人被老婆打，未持械，人伤，无需救护，请民警到场处理。
218,被老婆打和咬，电话中断，请民警到场处理。
219,报警人称被其老婆打，请民警到场处理。
220,"外国人报警（韩国人，在沪工作）：报警人称被其老婆打，自动中断,请民警到场处理。请民警携带必要的个人防护装备，并注意自身安全。"
221,报警人被老婆打，1人伤，（已通知120，如民警到场无需急救车，请致电120或110。）
222,"报警人被老婆打 （已通知120，如民警到场不需要，请致电120或110）请民警到场处理。内线(22546)"
223,报警人被老婆打了，请民警到场处理。（内线：22653）
224,报警人被老婆打 无需救护，请民警到场处理。内线(25244)
225,报警人被老婆打，无持械，请民警到场处理。请民警注意自身安全。
226,报警人被老婆打了，请民警到场处理。
227,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全"
228,家庭纠纷，报警人称被老婆打，无持械
229,家暴，报警人被老婆打，未持续，报警人伤，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
230,家庭纠纷 报警人被老婆打 无需救护，请民警到场处理。 988号12：03分处补充地址： 过沈杨大桥 往村里走 过顾陈路200米
231,家庭纠纷 报警人被老婆打 无需救护，请民警到场处理。内线内线(22566)
232,报警人被妻子打，无持械，请民警到场处理。请民警带好必要的防护设备，并且注意自身安全。
233,报警人被妻子打了一拳 无需救护 （请民警携带必要到防护设备，并注意自身安全）
234,报警人被老婆打伤，请民警到场处理。（22680）
235,报警人被老婆打，人伤无需救护，请民警到场处理。
236,报警人被妻子打，持械，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
237,被其老婆打，请民警到场处理。
238,报警人称被妻子打，未持械，人伤，无需120，请民警到场处理。
239,报警人称被老婆打，请民警到场处理。
240,报警人被老婆打，持械，人未伤，请民警到场处理。
241,家庭暴力被老婆打，请民警到场处理。
242,报警人又被老婆打了，请民警到场处理。  589  19：18
243,报警人称被妻子打，拿照片，无人伤，请民警到场处理并注意自身安全。(请携带必要的个人防护装备，并注意自身安全)
244,报警人被妻子打，请民警到场处理。
245,报警人称被老婆打，人在门卫等。请民警到场处理。
246,报警人被妻子打。请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
247,报警人被老婆打，请民警到场处理。
248,家庭纠纷 报警人被老婆打 无需救护，请民警到场处理。内线(22653)
249,家庭暴力，报警人被妻子打，请民警到场处理。(22633)
250,称被其老婆打，双方在场，请民警到场处理。（内线：22651）
251,报警人被老婆打出家门，现上址等民警，请民警到场处理。
252,称自己被老婆打，请民警到场处理。
253,报警人被老婆打耳光，请民警到场处理。
254,报警人称被老婆打伤。请民警注意自身安全。
255,报警人称被其老婆打，无持械，1人伤无需120，请民警到场处理。请民警携带必要的个人防护装备，并注意自身安全。
256,家庭暴力，报警人被妻子打，控制不住，请民警到场处理。
257,报警人被老婆打，请民警到场处理。
258,报警人被老婆打用扫把，对方在场，人伤无需120，请民警到场处理。
259,报警人自称是浦东分局休假民警，被妻子打，对方持菜刀，报警人在喜泰路小区边门口等，请民警到场处理。
260,报警人被老婆打，无持械，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
261,报警人称被妻子打伤，无需120，持凳子
262,报警人被老婆打，点火烧被子，火已灭，请民警到场处理。
263,报警人称被老婆打，请民警到场处理。
264,报警人被老婆打，请民警到场处理。
265,报警人被老婆打，请民警到场处理。
266,报警人被老婆打伤，请民警注意自身安全。
267,家庭纠纷引起，报警人被老婆打。
268,夫妻纠纷，报警人称被妻子打，请民警到场处理。请民警携带必要的防护装备，并注意自身安全。
269,报警人被妻子打，牙齿受伤，请民警到场处理。
270,报警人称其被老婆打，请民警到场处理。
271,报警人被老婆打伤，拿衣架、请民警注意自身安全。
272,"报警人被老婆打，人伤无需救护车,持烟缸，请民警携带必要的防护设备。请民警到场处理。（内线：22675）"
273,报警人被老婆打，请民警到场处理。
274,报警人被老婆打 请民警到场处理并注意自身安全。
275,称被妻子打，请民警到场处理。
276,称被妻子打伤，请民警到场处理。
277,报警人被老婆打 请民警到场处理。
278,报警人称被妻子打伤 请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
279,报警人被老婆打，未持械，人轻伤，请民警到场处理。
280,报警人被其老婆打，未持械，无需救护，请民警到场处理。
281,报警人被老婆打 请民警到场处理。
282,家庭暴力，报警人被老婆打，请民警到场处理。
283,报警人被老婆打 请民警到场处理并注意自身安全。（内线：22689）
284,报警人称被老婆打了 请民警到场处理
285,报警人被老婆打，无持械，请民警到场处理。
286,报警人被老婆打，请民警到场处理。
287,报警人被老婆打 请民警到场处理。22680
288,报警人称被老婆打，请民警到场处理。
289,报警人被老婆打，请民警到场处理。
290,异地报警：称其母亲被其老婆打，请民警到场处理。（内线：22649)
291,报警人被老婆打伤 无需救护 请民警到场处理并注意自身安全。
292,称被老婆打，人伤无需救护。请民警到场处理。
293,丈夫被妻子打，请民警到场处理。
294,报警人被老婆打伤手部 无需救护 请民警注意自身安全。
295,家庭成员，报警人被老婆打，无持械， 请携带必要的个人防护装备，并注意自身安全。22572
296,"报警人被老婆打，人伤无需救护车,持板凳，请民警携带必要的防护设备。"
297,称被老婆打，请民警携带必要的防护装备，并注意自身安全，请民警到场处理
298,报警人被老婆打，砸东西，（请民警携带必要个人防护装备到场处理，并注意自身安全。）
299,报警人被妻子打，用酒瓶，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
300,报警人被妻子打，人伤 574号20：39分所处，报警人来电催促，请分局做好解释工作。
301,家庭暴力，被老婆打，请民警到场处理。
302,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全"
303,报警人称母亲被老婆打，请民警到场处理。
304,报警人被老婆打，请民警到场处理。
305,家暴，报警人被老婆打，人伤，请民警到场处理。
306,报警人被老婆打，无需救护，请民警到场处理。
307,报警人自称醉酒，称被老婆打，又称要让警察把其抓去关几天，请民警到场处理。请民警携带必要防护装备，并请注意自身安全。
308,报警人被老婆打伤。无需救护。
309,报警人被老婆打，请民警到场处理。
310,报警人称遭家暴，被老婆打。请民警到场处理。
311,报警人被老婆打，请民警到场处理。请民警注意自身安全。
312,称被老婆打，持械，人伤无需救护，请民警到场处理并注意自身安全。(内线：22672)
313,报警人称被老婆打，请民警到场处理。
314,报警人被妻子打 无需救护 请携带必要的防护装备，并请注意自身安全。
315,称被老婆打，请民警到场处理。
316,报警人被老婆打，拿毛巾，请民警到场处理。请民警携带必要个人防护装备到场处理，并注意自身安全。
317,报警人称被妻子打，请民警到场处理。
318,报警人被其老婆打，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
319,报警人被其老婆打，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
320,称被老婆打，双方人在场，请民警到场处理。
321,"报警人称被其妻子打，请民警到场处理。外国人报警：来沪工作，来自加拿大转接英语翻译夏梦霭一次成功"
322,报警人被老婆打。人伤无需120。请民警到场处理。
323,报警人称被老婆打 请民警到场处理。
324,被老婆打，1人伤。请民警携带必要的防护装备，并注意自身安全，请民警到场处理
325,家暴  报警人 被老婆打  请民警到场处理。
326,报警人被老婆打，无需救护，请民警到场处理。请民警携带必要的防护设备。
327,民警走后：报警人被老婆打 持凳子 2人伤无需救护 请民警到场处理并注意自身安全。
328,报警人称被老婆打，请民警到场处理。
329,报警人被老婆打，称有拿刀，手上受伤无需救护，刀已放到桌上，称老婆喝酒，请民警携带必要的防护设备，并注意自身安全。
330,报警人被妻子打，拿锅铲，人伤无需救护，请民警到场处理。
331,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全"
332,报警人称其被老婆打，请民警到场处理。
333,报警人被其老婆打，请民警到场处理。（内线：22653）
334,被老婆打，无需救护，请民警到场处理。
335,报警人被老婆打，老婆已离开，请民警到场处理。
336,被老婆打，无持械，无伤，请民警到场处理。
337,称被老婆打，请民警到场处理。请民警注意自身安全。
338,"报警人被老婆打,1人伤,无需120,请民警到场处理。"
339,报警人称其被老婆打，请民警到场处理。
340,报警人被老婆打，请民警到场处理。
341,报警人被老婆打，请民警到场处理。
342,报警人被妻子打伤，无需120，未持械
343,因夫妻纠纷，报警人被老婆打。
344,报警人称被其老婆打，无持械，请民警到场处理。
345,报警人被老婆打，请民警到场处理。
346,报警人被老婆打，请民警到场处理。
347,被老婆打，无需救护，请民警到场处理。
348,报警人被老婆打，现在坐在车内。白色轿车（苏AA67C3)，此警219号23：03分已处，报警人来电变更地址，
349,报警人被老婆打，现在坐在车内。白色轿车（苏AA67C3)请民警到场处理。
350,报警人被老婆打 无需救护无持械 请民警到场处理。（请民警携带必要的防护设备，并注意自身安全。）
351,报警人被老婆打 大致意思头被打破 老婆已离开 用啤酒瓶打的 请民警到场处理。请携带必要的防护装备，并请注意自身安全。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）
352,报警人被妻子打，持棍子，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
353,报警人被老婆打 无需救护 无持械 请民警到场处理。请携带必要的防护装备，并请注意自身安全。
354,家庭纠纷 报警人被老婆打 无需救护，请民警到场处理。内线内线(22640)
355,被老婆打，无需救护，请民警到场处理。
356,报警人称其被老婆打，请民警到场处理。
357,报警人称被老婆打，无持械，请民警到场处理。
358,报警人被老婆打 请民警到场处理。
359,称民警走后报警人又再次被老婆打，请民警到场处理并注意自身安全。（内线：22540）
360,报警人被老婆打伤 ，无需救护，现人在弄口等，原来电话：6301518693，请民警到场处理。22640
361,报警人被老婆打伤 （已通知卫生局，若民警到场确认不需急救车，请致电120或110）请民警到场处理并注意自身安全。
362,报警人被老婆打 人伤无需救护 其称被铁质物品敲到头  请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
363,报警人母亲被其老婆打，请民警到场处理。
364,"报警人被妻子打 持棍子 无需救护 请携带必要的防护装备，并请注意自身安全。民警走后"
365,报警人称被老婆打了，请民警到场处理。
366,报警人称被老婆打了，请民警到场处理。
367,报警人被其老婆打耳光，无持械，1人伤，无需救护 请民警到场处理。请民警携带必要的个人防护装备，并注意自身安全。
368,报警人被妻子打人。人伤，无需救护，请民警到场处理。
369,报警人被老婆打，请民警到场处理。内线(22648)
370,报警人被老婆打，请民警到场处理。
371,称其被老婆打，持械，人伤无需救护，请民警到场处理并注意自身安全。
372,报警人被老婆打，请民警到场处理并注意自身安全
373,报警人被老婆打，请民警到场处理。
374,报警人称其被老婆打，人伤，无需救护。请民警到场处理。
375,报警人被老婆打，人伤，（已通知120，如民警到场不需要，请致电120或110）请民警携带必要的防护设备并请注意自身安全。
376,报警人被老婆打，人伤，无需120，持筷子，请民警携带必要的防护装备，并注意自身安全。
377,报警人被妻子打，无持械，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
378,报警人被妻子打，请民警到场处理。(22633)
379,"九亭派出所到场，称属泗泾派出所原：松江 九泾路沪松公路口 大理石市场门口夫妻离异纠纷，被老婆打，老婆跑了，报警人无需救护，请民警到场处理。"
380,夫妻离异纠纷，被老婆打，老婆跑了，报警人无需救护，请民警到场处理。
381,报警人被老婆打伤，请民警到场处理。
382,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。"
383,报警人称被老婆打，请民警到场处理。
384,报警人被妻子打，持械，人伤，无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
385,报警人被老婆打，用椅子砸 请民警到场处理。
386,报警人被老婆打，请民警到场处理。
387,家庭纠纷，报警人被老婆打，请民警到场处理。
388,报警人被妻子打  请民警到场处理。
389,家庭暴力，被老婆打，请民警到场处理。
390,报警人被老婆打 请民警到场处理。（内线：22681）
391,报警人头被老婆打破，现在上址医院，请民警到场处理。
392,报警人被妻子打，请民警到场处理。
393,报警人被老婆打，持竹棍，请民警注意自身安全。
394,被老婆打，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
395,报警人母亲被妻子打，请民警到场处理。
396,报警人被老婆打 请民警到场处理并注意自身安全。（内线：22689）
397,报警人被老婆打 请民警到场处理。民警走后
398,报警人被老婆打 请民警到场处理。
399,报警人被妻子打，请民警到场处理。22674
400,报警人称被其老婆打，请民警到场处理。（内线：22552）
401,报警人称被老婆打，受伤无需救护，请民警注意自身安全。
402,报警人被老婆打，请民警到场处理。
403,报警人被其妻子打，拿铁棍，人伤，无需救护，请民警到场处理并注意自身安全。
404,报警人、儿子被其老婆打，持凳子，请携带必要的防护装备，并请注意自身安全。
405,报警人被妻子打 妻子已离开 请民警到场处理并注意自身安全。
406,称小孩被老婆打 报警人拦不住 请民警到场处理。
407,"称被妻子打，对方持刀，无人伤。请民警携带必要的防护设备，并注意自身安全。"
408,一老人报警：称被妻子打。起因不明。
409,报警人称其被老婆打，请民警到场处理。
410,报警人称被老婆打伤，拿剪刀，自动中断，请民警携带必要的防护设备，并注意自身安全。
411,报警人被老婆打，未持械，请民警到场处理。
412,报警人被老婆打请民警到场处理。
413,报警人被妻子打伤，请民警到场处理。
414,报警人门岗保安代报警，上址一人被老婆打，在门岗等，无需救护，请民警到场处理。内线：22638
415,报警人被老婆打，人伤，无需救护车，请民警到场处理并注意自身安全。
416,民警走后 被老婆打，请民警到场处理。
417,"报警人被妻子打,对象在，人伤无需救护，请民警到场处理。"
418,报警人被老婆打 请民警到场处理。（内线：22681）
